Season,Month,Vax date,6 months-23 months DOB range,6 months-23 months numerator,6 months-23 months population,2-4 years DOB range,2-4 years numerator,2-4 years population,5-8 years DOB range,5-8 years numerator,5-8 years population,9-12 years DOB range,9-12 years numerator,9-12 years population,13-17 years DOB range,13-17 years numerator,13-17 years population,18-49 years DOB range,18-49 years numerator,18-49 years population,50-64 years DOB range ,50-64 years numerator,50-64 years population,65+ years DOB range ,65+ years numerator,65+ years population,6 months to 17 years DOB range,6 months to 17 years numerator,6 months to 17 years population,Overall (all ages) DOB range,Overall numerator (all ages),Overall (all ages) population,All adults (+18)  DOB range ,All adults numerator (+18),All adults (+18) population,Report Due Date
2025-26,Jul,9/1/2024-7/31/2025,1/1/2024-7/31/2025,12500,85000,1/1/2021-12/31/2023,18200,125000,1/1/2017-12/31/2020,24800,165000,1/1/2013-12/31/2016,22100,155000,1/1/2008-12/31/2012,19400,145000,1/1/1976-12/31/2007,185000,1250000,1/1/1961-12/31/1975,125000,485000,12/31/1960,95000,425000,1/1/2008-7/31/2025,97000,675000,9/1/2024-7/31/2025,502000,2835000,1/1/1976-12/31/2007,405000,2160000,8/9/2025
2025-26,Aug,9/1/2024-8/31/2025,1/1/2024-8/31/2025,14200,85000,1/1/2021-12/31/2023,20800,125000,1/1/2017-12/31/2020,28200,165000,1/1/2013-12/31/2016,25100,155000,1/1/2008-12/31/2012,22000,145000,1/1/1976-12/31/2007,210000,1250000,1/1/1961-12/31/1975,142000,485000,12/31/1960,108000,425000,1/1/2008-8/31/2025,110300,675000,9/1/2024-8/31/2025,570300,2835000,1/1/1976-12/31/2007,460000,2160000,9/9/2025
2025-26,Sept,9/1/2024-9/30/2025,1/1/2024-9/30/2025,16100,85000,1/1/2021-12/31/2023,23600,125000,1/1/2017-12/31/2020,32000,165000,1/1/2013-12/31/2016,28500,155000,1/1/2008-12/31/2012,25000,145000,1/1/1976-12/31/2007,238000,1250000,1/1/1961-12/31/1975,161000,485000,12/31/1960,122000,425000,1/1/2008-9/30/2025,125200,675000,9/1/2024-9/30/2025,646200,2835000,1/1/1976-12/31/2007,521000,2160000,10/9/2025
2025-26,Oct,9/1/2024-10/31/2025,1/1/2024-10/31/2025,18200,85000,1/1/2021-12/31/2023,26600,125000,1/1/2017-12/31/2020,36100,165000,1/1/2013-12/31/2016,32200,155000,1/1/2008-12/31/2012,28200,145000,1/1/1976-12/31/2007,268000,1250000,1/1/1961-12/31/1975,181000,485000,12/31/1960,137000,425000,1/1/2008-10/31/2025,141300,675000,9/1/2024-10/31/2025,727300,2835000,1/1/1976-12/31/2007,586000,2160000,11/9/2025
2025-26,Nov,9/1/2024-11/30/2025,1/1/2024-11/30/2025,20500,85000,1/1/2021-12/31/2023,29900,125000,1/1/2017-12/31/2020,40600,165000,1/1/2013-12/31/2016,36200,155000,1/1/2008-12/31/2012,31700,145000,1/1/1976-12/31/2007,301000,1250000,1/1/1961-12/31/1975,203000,485000,12/31/1960,153000,425000,1/1/2008-11/30/2025,158900,675000,9/1/2024-11/30/2025,815900,2835000,1/1/1976-12/31/2007,657000,2160000,12/9/2025
2025-26,Dec,9/1/2024-12/31/2025,1/1/2024-12/31/2025,23000,85000,1/1/2021-12/31/2023,33500,125000,1/1/2017-12/31/2020,45500,165000,1/1/2013-12/31/2016,40600,155000,1/1/2008-12/31/2012,35500,145000,1/1/1976-12/31/2007,337000,1250000,1/1/1961-12/31/1975,227000,485000,12/31/1960,170000,425000,1/1/2008-12/31/2025,178100,675000,9/1/2024-12/31/2025,912100,2835000,1/1/1976-12/31/2007,734000,2160000,1/9/2026
2025-26,Jan,9/1/2024-1/31/2026,1/1/2024-1/31/2026,25700,85000,1/1/2021-12/31/2023,37400,125000,1/1/2017-12/31/2020,50800,165000,1/1/2013-12/31/2016,45300,155000,1/1/2008-12/31/2012,39600,145000,1/1/1976-12/31/2007,376000,1250000,1/1/1961-12/31/1975,253000,485000,12/31/1960,188000,425000,1/1/2008-1/31/2026,198800,675000,9/1/2024-1/31/2026,1015800,2835000,1/1/1976-12/31/2007,817000,2160000,2/9/2026
2025-26,Feb,9/1/2024-2/28/2026,1/1/2024-2/28/2026,28600,85000,1/1/2021-12/31/2023,41600,125000,1/1/2017-12/31/2020,56500,165000,1/1/2013-12/31/2016,50400,155000,1/1/2008-12/31/2012,44100,145000,1/1/1976-12/31/2007,418000,1250000,1/1/1961-12/31/1975,281000,485000,12/31/1960,207000,425000,1/1/2008-2/28/2026,221200,675000,9/1/2024-2/28/2026,1127200,2835000,1/1/1976-12/31/2007,906000,2160000,3/9/2026
2025-26,Mar,9/1/2024-3/31/2026,1/1/2024-3/31/2026,31700,85000,1/1/2021-12/31/2023,46100,125000,1/1/2017-12/31/2020,62600,165000,1/1/2013-12/31/2016,55800,155000,1/1/2008-12/31/2012,48800,145000,1/1/1976-12/31/2007,462000,1250000,1/1/1961-12/31/1975,311000,485000,12/31/1960,227000,425000,1/1/2008-3/31/2026,245000,675000,9/1/2024-3/31/2026,1245000,2835000,1/1/1976-12/31/2007,1000000,2160000,4/9/2026
2025-26,Apr,9/1/2024-4/30/2026,1/1/2024-4/30/2026,35000,85000,1/1/2021-12/31/2023,50900,125000,1/1/2017-12/31/2020,69100,165000,1/1/2013-12/31/2016,61600,155000,1/1/2008-12/31/2012,53900,145000,1/1/1976-12/31/2007,510000,1250000,1/1/1961-12/31/1975,343000,485000,12/31/1960,248000,425000,1/1/2008-4/30/2026,270500,675000,9/1/2024-4/30/2026,1371500,2835000,1/1/1976-12/31/2007,1101000,2160000,5/9/2026
2025-26,May,9/1/2024-5/31/2026,1/1/2024-5/31/2026,38500,85000,1/1/2021-12/31/2023,56000,125000,1/1/2017-12/31/2020,76000,165000,1/1/2013-12/31/2016,67800,155000,1/1/2008-12/31/2012,59300,145000,1/1/1976-12/31/2007,561000,1250000,1/1/1961-12/31/1975,378000,485000,12/31/1960,270000,425000,1/1/2008-5/31/2026,297600,675000,9/1/2024-5/31/2026,1506600,2835000,1/1/1976-12/31/2007,1209000,2160000,6/9/2026
2025-26,Jun,9/1/2024-6/30/2026,1/1/2024-6/30/2026,42200,85000,1/1/2021-12/31/2023,61400,125000,1/1/2017-12/31/2020,83400,165000,1/1/2013-12/31/2016,74400,155000,1/1/2008-12/31/2012,65000,145000,1/1/1976-12/31/2007,615000,1250000,1/1/1961-12/31/1975,415000,485000,12/31/1960,293000,425000,1/1/2008-6/30/2026,326400,675000,9/1/2024-6/30/2026,1649400,2835000,1/1/1976-12/31/2007,1323000,2160000,7/9/2026
